,DateTime,City,Country,Operator,Type,Company,Aboard,Fatalities,Ground,Flight Type,Phase,Cause,Summary,Year,Month,Day,Survivors,%Survivors
0,1908-09-17 17:18:00,Fort Myer, Virginia,MILITARY - U.S. ARMY,Wright Flyer III,Wright,2.0,1.0,0.0,military,unknown,unknown,"during a demonstration flight, a u.s. army flyer flown by orville wright nose-dived into the ground from a height of approximately 75 feet, killing lt. thomas e. selfridge who was a passenger. this was the first recorded airplane fatality in history.  one of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  orville wright suffered broken ribs, pelvis and a leg.  selfridge suffered a crushed skull and died a short time later.",1908,September,Thursday,1.0,50.0
1,1912-07-12 06:30:00,AtlantiCity, New Jersey,MILITARY - U.S. NAVY,Dirigible,Dirigible,5.0,5.0,0.0,military,unknown,unknown,"first u.s. dirigible akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912,July,Friday,0.0,0.0
2,1913-08-06 00:00:00,Victoria, British Columbia,PRIVATE,Curtiss seaplane,Curtiss,1.0,1.0,0.0,private,unknown,Weather conditions,"the first fatal airplane accident in canada occurred when american barnstormer, john m. bryant, california aviator was killed.",1913,August,Wednesday,0.0,0.0
3,1913-09-09 18:30:00,Over the North Sea,,MILITARY - GERMAN NAVY,Zeppelin L-1 (airship),Zeppelin,20.0,14.0,0.0,military,While landing,Weather conditions,the airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of helgoland island into the sea. the ship broke in two and the control car immediately sank drowning its occupants.,1913,September,Tuesday,6.0,30.0
4,1913-10-17 10:30:00,Near Johannisthal, Germany,MILITARY - GERMAN NAVY,Zeppelin L-2 (airship),Zeppelin,30.0,30.0,0.0,military,unknown,Engine failure,"hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",1913,October,Friday,0.0,0.0
5,1915-03-05 01:00:00,Tienen, Belgium,MILITARY - GERMAN NAVY,Zeppelin L-8 (airship),Zeppelin,41.0,21.0,0.0,military,While landing,War,crashed into trees while attempting to land after being shot down by british and french aircraft.,1915,March,Friday,20.0,48.78048780487805
6,1915-09-03 15:20:00,Off Cuxhaven, Germany,MILITARY - GERMAN NAVY,Zeppelin L-10 (airship),Zeppelin,19.0,19.0,0.0,military,While landing,Weather conditions,"exploded and burned near neuwerk island,  when hydrogen gas, being vented, was ignited by lightning.",1915,September,Friday,0.0,0.0
7,1916-07-28 00:00:00,Near Jambol, Bulgeria,MILITARY - GERMAN ARMY,Schutte-Lanz S-L-10 (airship),Schutte-Lanz,20.0,20.0,0.0,military,unknown,unknown,"crashed near the black sea, cause unknown.",1916,July,Friday,0.0,0.0
8,1916-09-24 01:00:00,Billericay, England,MILITARY - GERMAN NAVY,Zeppelin L-32 (airship),Zeppelin,22.0,22.0,0.0,military,unknown,War,shot down by british aircraft crashing in flames.,1916,September,Sunday,0.0,0.0
9,1916-10-01 23:45:00,Potters Bar, England,MILITARY - GERMAN NAVY,Zeppelin L-31 (airship),Zeppelin,19.0,19.0,0.0,military,unknown,unknown,shot down in flames by the british 39th home defence squadron.,1916,October,Sunday,0.0,0.0
10,1916-11-21 00:00:00,Mainz, Germany,MILITARY - GERMAN ARMY,Super Zeppelin (airship),Super,28.0,27.0,0.0,military,unknown,Weather conditions,crashed in a storm.,1916,November,Tuesday,1.0,3.571428571428571
11,1916-11-28 23:45:00,Off West Hartlepool, England,MILITARY - GERMAN NAVY,Zeppelin L-34 (airship),Zeppelin,20.0,20.0,0.0,military,unknown,War,shot down by british anti-aircraft fire and aircraft and crashed into the north sea.,1916,November,Tuesday,0.0,0.0
12,1917-03-04 00:00:00,Near Gent, Belgium,MILITARY - GERMAN ARMY,Airship,Airship,20.0,20.0,0.0,military,unknown,Fire,caught fire and crashed.,1917,March,Sunday,0.0,0.0
13,1917-03-30 00:00:00,Off Northern Germany,,MILITARY - GERMAN NAVY,Schutte-Lanz S-L-9 (airship),Schutte-Lanz,23.0,23.0,0.0,military,unknown,Weather conditions,struck by lightning and crashed into the baltisea.,1917,March,Friday,0.0,0.0
14,1917-05-14 05:15:00,Near Texel Island, North Sea,MILITARY - GERMAN NAVY,Zeppelin L-22 (airship),Zeppelin,21.0,21.0,0.0,military,unknown,Fire,"crashed into the sea from an altitude of 3,000 ft. after being hit by british aircraft fire.",1917,May,Monday,0.0,0.0
15,1917-06-14 08:45:00,Off Vlieland Island, North Sea,MILITARY - GERMAN NAVY,Zeppelin L-43 (airship),Zeppelin,24.0,24.0,0.0,military,unknown,War,shot down by british aircraft.,1917,June,Thursday,0.0,0.0
16,1917-08-21 07:00:00,Off western Denmark,,MILITARY - GERMAN NAVY,Zeppelin L-23 (airship),Zeppelin,18.0,18.0,0.0,military,unknown,War,shot down by british aircraft.,1917,August,Tuesday,0.0,0.0
17,1917-10-20 07:45:00,Near Luneville, France,MILITARY - GERMAN NAVY,Zeppelin L-44 (airship),Zeppelin,18.0,18.0,0.0,military,unknown,War,shot down by french anti-aircraft fire.,1917,October,Saturday,0.0,0.0
18,1918-04-07 21:30:00,Over the Mediterranean,,MILITARY - GERMAN NAVY,Zeppelin L-59 (airship),Zeppelin,23.0,23.0,0.0,military,unknown,unknown,exploded and crashed into the sea off the southern coast of italy.,1918,April,Sunday,0.0,0.0
19,1918-05-10 00:00:00,Off Helgoland Island, Germany,MILITARY - GERMAN NAVY,Zeppelin L-70 (airship),Zeppelin,22.0,22.0,0.0,military,unknown,War,"shot down by british aircraft crashing from a height of 17,000 ft.",1918,May,Friday,0.0,0.0
20,1918-08-11 10:00:00,Ameland Island, North Sea,MILITARY - GERMAN NAVY,Zeppelin L-53 (airship),Zeppelin,19.0,19.0,0.0,military,unknown,War,shot down by british aircraft.,1918,August,Sunday,0.0,0.0
21,1918-12-16 00:00:00,Elizabeth, New Jersey,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1918,December,Monday,0.0,0.0
22,1919-05-25 00:00:00,Cleveland, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,Pilot error,caught fire in midair. the pilot leaped from the plane to his death as the plane began to go into a dive.,1919,May,Sunday,0.0,0.0
23,1919-07-19 00:00:00,Dix Run, Pennsylvania,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1919,July,Saturday,0.0,0.0
24,1919-10-02 00:00:00,Newcastle, England,AIRCRAFT TRANSPORT AND TRAVEL,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1919,October,Thursday,0.0,0.0
25,1919-10-14 00:00:00,Cantonsville, Maryland,US AERIAL MAIL SERVICE,Curtiss R-4LM,Curtiss,1.0,1.0,0.0,cargo,unknown,unknown,,1919,October,Tuesday,0.0,0.0
26,1919-10-20 00:00:00,English Channel,,AIRCRAFT TRANSPORT AND TRAVEL,De Havilland DH-4,Havilland,,,,cargo,unknown,unknown,,1919,October,Monday,,
27,1919-10-30 00:00:00,Long Valley, New Jersey,US AERIAL MAIL SERVICE,De Havilland DH.4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1919,October,Thursday,0.0,0.0
28,1920-03-10 00:00:00,New Paris, Indiana,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1920,March,Wednesday,0.0,0.0
29,1920-03-30 00:00:00,Newark, New Jersey,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1920,March,Tuesday,0.0,0.0
30,1920-04-10 00:00:00,Newark, New Jersey,US AERIAL MAIL SERVICE,Curtiss R-4LM,Curtiss,2.0,1.0,0.0,cargo,unknown,unknown,,1920,April,Saturday,1.0,50.0
31,1920-04-11 00:00:00,Heller Field, New Jersey,US AERIAL MAIL SERVICE,Curtiss JN-4H,Curtiss,2.0,1.0,0.0,cargo,unknown,unknown,,1920,April,Sunday,1.0,50.0
32,1920-05-12 00:00:00,Oskaloosa, Iowa,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,2.0,1.0,0.0,cargo,unknown,unknown,,1920,May,Wednesday,1.0,50.0
33,1920-06-06 00:00:00,Cleveland, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1920,June,Sunday,0.0,0.0
34,1920-08-16 00:00:00,Bedford, England,BY AIR,Armstrong-Whitworth F-K-8,Armstrong-Whitworth,1.0,1.0,0.0,passenger,unknown,unknown,,1920,August,Monday,0.0,0.0
35,1920-08-16 00:00:00,College Park, Maryland,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1920,August,Monday,0.0,0.0
36,1920-09-01 00:00:00,Morristown, New Jersey,US AERIAL MAIL SERVICE,Junkers JL-6,Junkers,2.0,2.0,0.0,cargo,unknown,unknown,,1920,September,Wednesday,0.0,0.0
37,1920-09-15 00:00:00,Pemberville, Ohio,US AERIAL MAIL SERVICE,Junkers F-13,Junkers,2.0,2.0,0.0,cargo,unknown,unknown,,1920,September,Wednesday,0.0,0.0
38,1920-09-27 00:00:00,Hillersburg, Pennsylvania,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,1.0,1.0,0.0,cargo,unknown,unknown,,1920,September,Monday,0.0,0.0
